ID,질문 번호,질문 유형,질문 내용,응답 내용,질문 키워드,카테고리,감성,질문 카테고리
R128,Q2,자유서술형,녹용 제품 이미지 개선 방법,올리브영이나 시시호시 같은 오프라인 구매처를 통한 진입장벽 낮추기,녹용 제품 이미지 개선 방법,구매처 부족,부정,녹용 장벽 요인
R129,Q2,자유서술형,녹용 제품 이미지 개선 방법,트렌디한 유머 밈 활용,녹용 제품 이미지 개선 방법,재미,긍정,녹용 장벽 요인
R130,Q2,자유서술형,녹용 제품 이미지 개선 방법,트렌디한 마케팅,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R131,Q2,자유서술형,녹용 제품 이미지 개선 방법,친근함,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R132,Q2,자유서술형,녹용 제품 이미지 개선 방법,접근성 높여 생소함 줄이기,녹용 제품 이미지 개선 방법,접근성 부족,부정,녹용 장벽 요인
R133,Q2,자유서술형,녹용 제품 이미지 개선 방법,트렌디함,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R134,Q2,자유서술형,녹용 제품 이미지 개선 방법,"가격 인하, 마케팅",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R135,Q2,자유서술형,녹용 제품 이미지 개선 방법,"합리적인 가격, 어르신용 이미지 개선",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R135,Q2,자유서술형,녹용 제품 이미지 개선 방법,"합리적인 가격, 어르신용 이미지 개선",녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R136,Q2,자유서술형,녹용 제품 이미지 개선 방법,"인식 개선, 효과 입증",녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R137,Q2,자유서술형,녹용 제품 이미지 개선 방법,효능,녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R138,Q2,자유서술형,녹용 제품 이미지 개선 방법,"가격, 맛 개선",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R138,Q2,자유서술형,녹용 제품 이미지 개선 방법,"가격, 맛 개선",녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R139,Q2,자유서술형,녹용 제품 이미지 개선 방법,어르신용 이미지 탈피,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R140,Q2,자유서술형,녹용 제품 이미지 개선 방법,간편한 섭취 방법,녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
R141,Q2,자유서술형,녹용 제품 이미지 개선 방법,이미지 개선,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R142,Q2,자유서술형,녹용 제품 이미지 개선 방법,맛과 제형,녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R142,Q2,자유서술형,녹용 제품 이미지 개선 방법,맛과 제형,녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
R143,Q2,자유서술형,녹용 제품 이미지 개선 방법,"올드한 느낌 탈피, 가격 낮추기",녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R143,Q2,자유서술형,녹용 제품 이미지 개선 방법,"올드한 느낌 탈피, 가격 낮추기",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R144,Q2,자유서술형,녹용 제품 이미지 개선 방법,맛 개선,녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R145,Q2,자유서술형,녹용 제품 이미지 개선 방법,효능 알리기,녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R146,Q2,자유서술형,녹용 제품 이미지 개선 방법,가격 낮추기,녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R147,Q2,자유서술형,녹용 제품 이미지 개선 방법,제품 홍보,녹용 제품 이미지 개선 방법,정보 부족,부정,녹용 장벽 요인
R148,Q2,자유서술형,녹용 제품 이미지 개선 방법,트렌디함,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R149,Q2,자유서술형,녹용 제품 이미지 개선 방법,트렌디한 이미지,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R150,Q2,자유서술형,녹용 제품 이미지 개선 방법,합리적인 가격,녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R151,Q2,자유서술형,녹용 제품 이미지 개선 방법,맛 개선,녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R152,Q2,자유서술형,녹용 제품 이미지 개선 방법,뿔이라는 거부감,녹용 제품 이미지 개선 방법,동물학대,부정,녹용 장벽 요인
R153,Q2,자유서술형,녹용 제품 이미지 개선 방법,"맛, 가격에 대한 부담감 개선",녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R153,Q2,자유서술형,녹용 제품 이미지 개선 방법,"맛, 가격에 대한 부담감 개선",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R154,Q2,자유서술형,녹용 제품 이미지 개선 방법,올드한 이미지 탈피,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R155,Q2,자유서술형,녹용 제품 이미지 개선 방법,효능 리뷰 및 실험 광고,녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R156,Q2,자유서술형,녹용 제품 이미지 개선 방법,이미지 개선,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R157,Q2,자유서술형,녹용 제품 이미지 개선 방법,"합리적인 가격, 확실한 효능",녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R157,Q2,자유서술형,녹용 제품 이미지 개선 방법,"합리적인 가격, 확실한 효능",녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R158,Q2,자유서술형,녹용 제품 이미지 개선 방법,저렴한 가격,녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R159,Q2,자유서술형,녹용 제품 이미지 개선 방법,간편한 복용방법,녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
R160,Q2,자유서술형,녹용 제품 이미지 개선 방법,다양한 제품 제형,녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
R161,Q2,자유서술형,녹용 제품 이미지 개선 방법,지속적인 바이럴,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R162,Q2,자유서술형,녹용 제품 이미지 개선 방법,효능 검증,녹용 제품 이미지 개선 방법,효능 불확실,부정,녹용 장벽 요인
R163,Q2,자유서술형,녹용 제품 이미지 개선 방법,올드한 이미지 탈피,녹용 제품 이미지 개선 방법,트렌디함,긍정,녹용 장벽 요인
R164,Q2,자유서술형,녹용 제품 이미지 개선 방법,"거부감 없는 맛과 향, 간편한 제형",녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R164,Q2,자유서술형,녹용 제품 이미지 개선 방법,"거부감 없는 맛과 향, 간편한 제형",녹용 제품 이미지 개선 방법,간편한 제형,긍정,녹용 장벽 요인
R165,Q2,자유서술형,녹용 제품 이미지 개선 방법,가격 인하,녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R166,Q2,자유서술형,녹용 제품 이미지 개선 방법,합리적인 가격,녹용 제품 이미지 개선 방법,가격 장벽,부정,녹용 장벽 요인
R167,Q2,자유서술형,녹용 제품 이미지 개선 방법,맛 개선,녹용 제품 이미지 개선 방법,맛 없음,부정,녹용 장벽 요인
R168,Q2,자유서술형,녹용 제품 이미지 개선 방법,신박한 홍보,녹용 제품 이미지 개선 방법,재미,긍정,녹용 장벽 요인
R169,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,오래 일한 것도 아닌데 갑자기 피곤할 때,건강관리 필요 요인,피로감,부정,건강관리 필요 요인
R170,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,"예전보다 같은 일을 해도 피로감을 많이 느낄 때, 집중력도 떨어질때",건강관리 필요 요인,피로감,부정,건강관리 필요 요인
R170,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,"예전보다 같은 일을 해도 피로감을 많이 느낄 때, 집중력도 떨어질때",건강관리 필요 요인,집중력,부정,건강관리 필요 요인
R171,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,스트레스 많이 받아 두통이나 피로감이 심해질 때,건강관리 필요 요인,스트레스,부정,건강관리 필요 요인
R171,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,스트레스 많이 받아 두통이나 피로감이 심해질 때,건강관리 필요 요인,피로감,부정,건강관리 필요 요인
R172,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,"아침에 피곤할 때, 며칠이 지나도 피로가 해소되지 않을 때",건강관리 필요 요인,피로감,부정,건강관리 필요 요인
R173,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,"눈이 침침하거나, 운동 중 체력이 부족할 때",건강관리 필요 요인,체력,부정,건강관리 필요 요인
R173,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,"눈이 침침하거나, 운동 중 체력이 부족할 때",건강관리 필요 요인,눈이 침침,부정,건강관리 필요 요인
R174,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,"피곤할 때, 살쪘을 때",건강관리 필요 요인,피로감,부정,건강관리 필요 요인
R174,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,"피곤할 때, 살쪘을 때",건강관리 필요 요인,체중 증가,부정,건강관리 필요 요인
R175,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,푹 자도 피곤할 때,건강관리 필요 요인,피로감,부정,건강관리 필요 요인
R176,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,군살이 보일 때,건강관리 필요 요인,체중 증가,부정,건강관리 필요 요인
R177,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,"기력이 떨어질 때, 평소보다 피로할 때",건강관리 필요 요인,기력,부정,건강관리 필요 요인
R177,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,"기력이 떨어질 때, 평소보다 피로할 때",건강관리 필요 요인,피로감,부정,건강관리 필요 요인
R178,Q4,FGI,평소 건강관리가 필요하다고 느끼는 순간은?,늘 느낌,건강관리 필요 요인,기타,중립,건강관리 필요 요인
R179,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,"주로 커피 마시거나, 주말에 쉴 생각",건강관리 대처 방법,기타,중립,건강관리 대처 방법
R180,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,"비타민B, C, 오메가3같은 특정 영양제 섭취, 식습관도 고치려 노력",건강관리 대처 방법,비타민,중립,건강관리 대처 방법
R181,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,운동을 하면서 스트레스 해소,건강관리 대처 방법,운동,중립,건강관리 대처 방법
R182,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,낮잠을 자거나 기존 루틴을 줄임,건강관리 대처 방법,기타,중립,건강관리 대처 방법
R183,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,"비타민A 복용, 운동 시도",건강관리 대처 방법,비타민,중립,건강관리 대처 방법
R183,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,"비타민A 복용, 운동 시도",건강관리 대처 방법,운동,중립,건강관리 대처 방법
R184,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,"운동, 일찍 자기 ",건강관리 대처 방법,운동,중립,건강관리 대처 방법
R185,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,"비타민C, D 복용, 채소나 두부, 계란 섭취",건강관리 대처 방법,비타민,중립,건강관리 대처 방법
R186,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,운동 시도,건강관리 대처 방법,운동,중립,건강관리 대처 방법
R187,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,자양강장이 되는 천연 주스를 복용 중,건강관리 대처 방법,기타,중립,건강관리 대처 방법
R188,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,운동과 식단관리,건강관리 대처 방법,운동,중립,건강관리 대처 방법
R188,Q5,FGI,건강관리가 필요하다고 느낀 순간 대처 방법은?,운동과 식단관리,건강관리 대처 방법,식단관리,중립,건강관리 대처 방법
R189,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,편리함이 최우선. 하루에 한 번만 먹으면 되는 제품처럼 간편함이 중요,건강기능식품 선택 기준,간편한 제형,긍정,건기식 호감 요인
R190,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,"후기. 쿠팡, 블로그 후기를 보고 효과 탐색, 주변 지인 후기도 참고",건강기능식품 선택 기준,실제 후기,긍정,건기식 호감 요인
R191,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,성분. 부작용 사례를 찾아보면서 나한테 맞는 성분인지 확인,건강기능식품 선택 기준,유효 성분,중립,건기식 호감 요인
R191,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,성분. 부작용 사례를 찾아보면서 나한테 맞는 성분인지 확인,건강기능식품 선택 기준,실제 후기,긍정,건기식 호감 요인
R192,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,"현재 증상에서 필요한 효능인지, 복용의 편리성, 과하지 않은 성분 함량",건강기능식품 선택 기준,필요 효능,중립,건기식 호감 요인
R192,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,"현재 증상에서 필요한 효능인지, 복용의 편리성, 과하지 않은 성분 함량",건강기능식품 선택 기준,간편한 제형,긍정,건기식 호감 요인
R192,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,"현재 증상에서 필요한 효능인지, 복용의 편리성, 과하지 않은 성분 함량",건강기능식품 선택 기준,유효 성분,중립,건기식 호감 요인
R193,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,"합리적인 가격, 브랜드 신뢰도",건강기능식품 선택 기준,합리적 가격,긍정,건기식 호감 요인
R194,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,진짜 나에게 필요한지 여부,건강기능식품 선택 기준,필요 효능,중립,건기식 호감 요인
R195,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,"가격, 구하기 쉬운가, 효능",건강기능식품 선택 기준,합리적 가격,긍정,건기식 호감 요인
R195,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,"가격, 구하기 쉬운가, 효능",건강기능식품 선택 기준,접근성,중립,건기식 호감 요인
R195,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,"가격, 구하기 쉬운가, 효능",건강기능식품 선택 기준,필요 효능,중립,건기식 호감 요인
R196,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,딱 원하는 효능만 있는 제품인지 ,건강기능식품 선택 기준,필요 효능,중립,건기식 호감 요인
R197,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,"효과, 진짜 내몸이랑 맞고 내 피로감을 줄여주는지",건강기능식품 선택 기준,필요 효능,중립,건기식 호감 요인
R198,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,"실제 후기, 검증된 효과",건강기능식품 선택 기준,실제 후기,긍정,건기식 호감 요인
R198,Q6,FGI,건강기능식품 선택 시 가장 중요하게 생각하는 기준,"실제 후기, 검증된 효과",건강기능식품 선택 기준,검증된 효과,긍정,건기식 호감 요인
R199,Q7,FGI,건강기능식품 구매 시 어떤 고민을 하셨나요?,"너무 싸면 의심스럽고, 너무 비싸면 부담스러워서 적당한 가격대 선호",건강기능식품 구매 장벽,합리적 가격,긍정,건기식 장벽 요인
R200,Q7,FGI,건강기능식품 구매 시 어떤 고민을 하셨나요?,"후기가 적은 제품은 안삼, 성분이 고함량인지와 내가 필요한 성분이 맞는지 고민",건강기능식품 구매 장벽,실제 후기,긍정,건기식 장벽 요인
R200,Q7,FGI,건강기능식품 구매 시 어떤 고민을 하셨나요?,"후기가 적은 제품은 안삼, 성분이 고함량인지와 내가 필요한 성분이 맞는지 고민",건강기능식품 구매 장벽,유효 성분,중립,건기식 장벽 요인
R200,Q7,FGI,건강기능식품 구매 시 어떤 고민을 하셨나요?,"후기가 적은 제품은 안삼, 성분이 고함량인지와 내가 필요한 성분이 맞는지 고민",건강기능식품 구매 장벽,필요 효능,중립,건기식 장벽 요인
R201,Q7,FGI,건강기능식품 구매 시 어떤 고민을 하셨나요?,성분 외에 브랜드 인지도. 유명한 브랜드부터 찾아봄,건강기능식품 구매 장벽,브랜드 신뢰도,긍정,건기식 장벽 요인
R202,Q7,FGI,건강기능식품 구매 시 어떤 고민을 하셨나요?,필요 이상의 고함량일 때. 성분 간 중복 우려,건강기능식품 구매 장벽,유효 성분,중립,건기식 장벽 요인
R203,Q7,FGI,건강기능식품 구매 시 어떤 고민을 하셨나요?,"브랜드 신뢰도가 낮을 때, 너무 저렴한 제품일 때",건강기능식품 구매 장벽,브랜드 신뢰도,긍정,건기식 장벽 요인
R203,Q7,FGI,건강기능식품 구매 시 어떤 고민을 하셨나요?,"브랜드 신뢰도가 낮을 때, 너무 저렴한 제품일 때",건강기능식품 구매 장벽,가격 장벽,부정,건기식 장벽 요인
R204,Q7,FGI,건강기능식품 구매 시 어떤 고민을 하셨나요?,가격,건강기능식품 구매 장벽,가격 장벽,부정,건기식 장벽 요인
R205,Q7,FGI,건강기능식품 구매 시 어떤 고민을 하셨나요?,가격,건강기능식품 구매 장벽,가격 장벽,부정,건기식 장벽 요인
R206,Q7,FGI,건강기능식품 구매 시 어떤 고민을 하셨나요?,가격 부담,건강기능식품 구매 장벽,가격 장벽,부정,건기식 장벽 요인
R207,Q8,FGI,건강기능식품 구매의 결정적 이유는?,합리적인 가격,건강기능식품 구매 자극 요인,합리적인 가격,긍정,건기식 호감 요인
R208,Q8,FGI,건강기능식품 구매의 결정적 이유는?,약사 선생님의 추천 제품,건강기능식품 구매 자극 요인,전문가 추천,중립,건기식 호감 요인
R209,Q8,FGI,건강기능식품 구매의 결정적 이유는?,"성분, 후기, 부작용 여부, 합리적인 가격이 모두 만족될 때 구매 결정",건강기능식품 구매 자극 요인,유효 성분,중립,건기식 호감 요인
R209,Q8,FGI,건강기능식품 구매의 결정적 이유는?,"성분, 후기, 부작용 여부, 합리적인 가격이 모두 만족될 때 구매 결정",건강기능식품 구매 자극 요인,실제 후기,긍정,건기식 호감 요인
R209,Q8,FGI,건강기능식품 구매의 결정적 이유는?,"성분, 후기, 부작용 여부, 합리적인 가격이 모두 만족될 때 구매 결정",건강기능식품 구매 자극 요인,검증된 효과,긍정,건기식 호감 요인
R209,Q8,FGI,건강기능식품 구매의 결정적 이유는?,"성분, 후기, 부작용 여부, 합리적인 가격이 모두 만족될 때 구매 결정",건강기능식품 구매 자극 요인,합리적 가격,긍정,건기식 호감 요인
R210,Q8,FGI,건강기능식품 구매의 결정적 이유는?,"확실한 효능, 리뷰 수",건강기능식품 구매 자극 요인,필요 효능,중립,건기식 호감 요인
R210,Q8,FGI,건강기능식품 구매의 결정적 이유는?,"확실한 효능, 리뷰 수",건강기능식품 구매 자극 요인,실제 후기,긍정,건기식 호감 요인
R211,Q8,FGI,건강기능식품 구매의 결정적 이유는?,"가격 대비 용량, 리뷰 신뢰도",건강기능식품 구매 자극 요인,합리적 가격,긍정,건기식 호감 요인
R211,Q8,FGI,건강기능식품 구매의 결정적 이유는?,"가격 대비 용량, 리뷰 신뢰도",건강기능식품 구매 자극 요인,실제 후기,긍정,건기식 호감 요인
R212,Q8,FGI,건강기능식품 구매의 결정적 이유는?,병원 검진 후 나에게 필요한 성분 함량 여부,건강기능식품 구매 자극 요인,필요 효능,중립,건기식 호감 요인
R212,Q8,FGI,건강기능식품 구매의 결정적 이유는?,병원 검진 후 나에게 필요한 성분 함량 여부,건강기능식품 구매 자극 요인,유효 성분,중립,건기식 호감 요인
R213,Q8,FGI,건강기능식품 구매의 결정적 이유는?,합리적인 가격,건강기능식품 구매 자극 요인,합리적 가격,긍정,건기식 호감 요인
R214,Q8,FGI,건강기능식품 구매의 결정적 이유는?,"의사 추천, 확실한 효과",건강기능식품 구매 자극 요인,전문가 추천,중립,건기식 호감 요인
R214,Q8,FGI,건강기능식품 구매의 결정적 이유는?,"의사 추천, 확실한 효과",건강기능식품 구매 자극 요인,검증된 효과,긍정,건기식 호감 요인
R215,Q8,FGI,건강기능식품 구매의 결정적 이유는?,합리적인 가격,건강기능식품 구매 자극 요인,합리적 가격,긍정,건기식 호감 요인
R216,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,"가격, 효능, 편리함을 고려해서 그때그때 고르는 편",건강기능식품 브랜드 선호 요인,합리적 가격,긍정,건기식 호감 요인
R216,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,"가격, 효능, 편리함을 고려해서 그때그때 고르는 편",건강기능식품 브랜드 선호 요인,필요 효능,중립,건기식 호감 요인
R216,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,"가격, 효능, 편리함을 고려해서 그때그때 고르는 편",건강기능식품 브랜드 선호 요인,간편한 제형,긍정,건기식 호감 요인
R217,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,"복용 후 효과, 일관된 좋은 후기, 전문가의 추천",건강기능식품 브랜드 선호 요인,검증된 효과,긍정,건기식 호감 요인
R217,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,"복용 후 효과, 일관된 좋은 후기, 전문가의 추천",건강기능식품 브랜드 선호 요인,실제 후기,긍정,건기식 호감 요인
R217,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,"복용 후 효과, 일관된 좋은 후기, 전문가의 추천",건강기능식품 브랜드 선호 요인,전문가 추천,중립,건기식 호감 요인
R218,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,부모님의 추천,건강기능식품 브랜드 선호 요인,기타,중립,건기식 호감 요인
R219,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,리뷰 수,건강기능식품 브랜드 선호 요인,실제 후기,긍정,건기식 호감 요인
R220,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,"브랜드 네임드, 자사몰 리뷰 수와 상세 정보의 신뢰성",건강기능식품 브랜드 선호 요인,브랜드 신뢰도,긍정,건기식 호감 요인
R220,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,"브랜드 네임드, 자사몰 리뷰 수와 상세 정보의 신뢰성",건강기능식품 브랜드 선호 요인,실제 후기,긍정,건기식 호감 요인
R221,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,리뷰,건강기능식품 브랜드 선호 요인,실제 후기,긍정,건기식 호감 요인
R222,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,직접 섭취 후 효과 비교,건강기능식품 브랜드 선호 요인,검증된 효과,긍정,건기식 호감 요인
R223,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,대기업 브랜드의 신뢰도,건강기능식품 브랜드 선호 요인,브랜드 신뢰도,긍정,건기식 호감 요인
R224,Q9,FGI,건강기능식품 브랜드 선호하는 이유는?,"유기농 쇼핑몰의 신뢰성, 깨끗한 공정, 안전한 원료",건강기능식품 브랜드 선호 요인,브랜드 신뢰도,긍정,건기식 호감 요인
R225,Q10,FGI,건강기능식품 구매할 때 가장 먼저 하는 행동은?,리뷰. 쿠팡 리뷰를 참고,건강기능식품 탐색 행동,실제 후기,긍정,기타
R226,Q10,FGI,건강기능식품 구매할 때 가장 먼저 하는 행동은?,"리뷰. 네이버 쇼핑, 쿠팡, 블로그, 지인의 후기를 참고",건강기능식품 탐색 행동,실제 후기,긍정,기타
R227,Q10,FGI,건강기능식품 구매할 때 가장 먼저 하는 행동은?,유튜브와 네이버에서 제품 정보 탐색,건강기능식품 탐색 행동,실제 후기,긍정,기타
R228,Q10,FGI,건강기능식품 구매할 때 가장 먼저 하는 행동은?,효능 검색,건강기능식품 탐색 행동,필요 효능,중립,기타
R229,Q10,FGI,건강기능식품 구매할 때 가장 먼저 하는 행동은?,"부작용 검색, 성분 검토, 의사 리뷰 확인",건강기능식품 탐색 행동,유효 성분,중립,기타
R229,Q10,FGI,건강기능식품 구매할 때 가장 먼저 하는 행동은?,"부작용 검색, 성분 검토, 의사 리뷰 확인",건강기능식품 탐색 행동,전문가 추천,중립,기타
R230,Q10,FGI,건강기능식품 구매할 때 가장 먼저 하는 행동은?,리뷰 탐색,건강기능식품 탐색 행동,실제 후기,긍정,기타
R231,Q10,FGI,건강기능식품 구매할 때 가장 먼저 하는 행동은?,"주변 지인에게 물어봄, 리뷰 탐색",건강기능식품 탐색 행동,실제 후기,긍정,기타
R232,Q10,FGI,건강기능식품 구매할 때 가장 먼저 하는 행동은?,"제품 정보 검색, 리뷰",건강기능식품 탐색 행동,실제 후기,긍정,기타
R233,Q10,FGI,건강기능식품 구매할 때 가장 먼저 하는 행동은?,"리뷰, 첨가물과 원산지 정보 탐색",건강기능식품 탐색 행동,실제 후기,긍정,기타
R233,Q10,FGI,건강기능식품 구매할 때 가장 먼저 하는 행동은?,"리뷰, 첨가물과 원산지 정보 탐색",건강기능식품 탐색 행동,유효 성분,중립,기타
R234,Q11,FGI,건강기능식품 브랜드 신뢰 요소,브랜드보단 제품 효능을 우선시함,건강기능식품 브랜드 신뢰 요소,필요 효능,중립,건기식 호감 요인
R235,Q11,FGI,건강기능식품 브랜드 신뢰 요소,전문가의 추천,건강기능식품 브랜드 신뢰 요소,전문가 추천,중립,건기식 호감 요인
R236,Q11,FGI,건강기능식품 브랜드 신뢰 요소,복용 후 효과를 느꼈을 때,건강기능식품 브랜드 신뢰 요소,검증된 효과,긍정,건기식 호감 요인
R237,Q11,FGI,건강기능식품 브랜드 신뢰 요소,"리뷰 수, 실제 사용자 후기, 브랜드의 일관된 메세지, 제품의 제조공정",건강기능식품 브랜드 신뢰 요소,실제 후기,긍정,건기식 호감 요인
R237,Q11,FGI,건강기능식품 브랜드 신뢰 요소,"리뷰 수, 실제 사용자 후기, 브랜드의 일관된 메세지, 제품의 제조공정",건강기능식품 브랜드 신뢰 요소,브랜드 신뢰도,긍정,건기식 호감 요인
R238,Q11,FGI,건강기능식품 브랜드 신뢰 요소,"검색 시 상위 노출 여부, 자사몰 후기의 신뢰도",건강기능식품 브랜드 신뢰 요소,브랜드 신뢰도,긍정,건기식 호감 요인
R239,Q11,FGI,건강기능식품 브랜드 신뢰 요소,리뷰가 좋을 때,건강기능식품 브랜드 신뢰 요소,실제 후기,긍정,건기식 호감 요인
R240,Q11,FGI,건강기능식품 브랜드 신뢰 요소,"유해한 첨가물 여부, 공정과정, 트렌디한 패키징과 캐릭터 디자인",건강기능식품 브랜드 신뢰 요소,유효 성분,중립,건기식 호감 요인
R240,Q11,FGI,건강기능식품 브랜드 신뢰 요소,"유해한 첨가물 여부, 공정과정, 트렌디한 패키징과 캐릭터 디자인",건강기능식품 브랜드 신뢰 요소,트렌디함,긍정,건기식 호감 요인
R241,Q12,FGI,"SNS에서 본 건강식품 콘텐츠 중에서, 신뢰가 가는 경우",SNS광고 자체에 대한 불신. 과대광고 같음,SNS 건강기능식품 콘텐츠 신뢰 요인,과대광고,부정,sns콘텐츠 호감 요인
R242,Q12,FGI,"SNS에서 본 건강식품 콘텐츠 중에서, 신뢰가 가는 경우",스토리 중심의 콘텐츠 그나마 나음,SNS 건강기능식품 콘텐츠 신뢰 요인,스토리텔링,긍정,sns콘텐츠 호감 요인
R243,Q12,FGI,"SNS에서 본 건강식품 콘텐츠 중에서, 신뢰가 가는 경우",단점도 솔직하게 말해줄 때,SNS 건강기능식품 콘텐츠 신뢰 요인,솔직광고,긍정,sns콘텐츠 호감 요인
